"Name","Series","# of CPU Cores","# of Threads","Max. Boost Clock","All Core Boost Speed","Base Clock","L3 Cache","1kU Pricing","Default TDP","AMD Configurable TDP (cTDP)","CPU Socket","Socket Count","Launch Date","PCI Express® Version","System Memory Type","Memory Channels","System Memory Specification","Per Socket Mem BW","Product ID Boxed","Product ID Tray","AMD Infinity Guard","Supported Technologies","Workload Affinity"
"AMD EPYC™ 9965","EPYC 9005 Series","192","384","Up to 3.7 GHz","3.35 GHz","2.25 GHz","384 MB","14813 USD","500W","450-500W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000000976","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving , CDC"
"AMD EPYC™ 9845","EPYC 9005 Series","160","320","Up to 3.7 GHz","3.25 GHz","2.1 GHz","320 MB","13564 USD","390W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001458","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CDC , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving"
"AMD EPYC™ 9825","EPYC 9005 Series","144","288","Up to 3.7 GHz","3.3 GHz","2.2 GHz","384 MB","13006 USD","390W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000000837","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CDC , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving"
"AMD EPYC™ 9755","EPYC 9005 Series","128","256","Up to 4.1 GHz","4.1 GHz","2.7 GHz","512 MB","12984 USD","500W","450-500W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001443","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving , CDC"
"AMD EPYC™ 9745","EPYC 9005 Series","128","256","Up to 3.7 GHz","3.45 GHz","2.4 GHz","256 MB","12141 USD","400W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001460","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , Content mgmt , HPC , Media streaming , Networking|NFV , Security , VDI , VM Density , Web Serving , CDC"
"AMD EPYC™ 9655P","EPYC 9005 Series","96","192","Up to 4.5 GHz","4.1 GHz","2.6 GHz","384 MB","10811 USD","400W","320-400W","SP5","1P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001522","","AMD Infinity Guard , AMD Infinity Architecture","CAE|CFD|FEA , High capacity data mgmt (NR|RDBMS) , HPC"
"AMD EPYC™ 9655","EPYC 9005 Series","96","192","Up to 4.5 GHz","4.1 GHz","2.6 GHz","384 MB","11852 USD","400W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000000674","","AMD Infinity Guard , AMD Infinity Architecture","CAE|CFD|FEA , High capacity data mgmt (NR|RDBMS) , HPC"
"AMD EPYC™ 9645","EPYC 9005 Series","96","192","Up to 3.7 GHz","3.3 GHz","2.3 GHz","256 MB","11048 USD","320W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001461","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Consumer-Oriented Digital Services , Content mgmt , ERM|SCM|CRM apps"
"AMD EPYC™ 9575F","EPYC 9005 Series","64","128","Up to 5 GHz","4.5 GHz","3.3 GHz","256 MB","11791 USD","400W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001554","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9565","EPYC 9005 Series","72","144","Up to 4.3 GHz","4.2 GHz","3.15 GHz","384 MB","10486 USD","400W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001447","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , HPC , VM Density"
"AMD EPYC™ 9555P","EPYC 9005 Series","64","128","Up to 4.4 GHz","4.2 GHz","3.2 GHz","256 MB","7983 USD","360W","320-400W","SP5","1P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001523","","AMD Infinity Guard , 4th Gen AMD Infinity Architecture","App dev|test , ERM|SCM|CRM apps , Value data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9555","EPYC 9005 Series","64","128","Up to 4.4 GHz","4.2 GHz","3.2 GHz","256 MB","9826 USD","360W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001142","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , HPC , VM Density"
"AMD EPYC™ 9535","EPYC 9005 Series","64","128","Up to 4.3 GHz","3.5 GHz","2.4 GHz","256 MB","8992 USD","300W","240-300W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001147","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9475F","EPYC 9005 Series","48","96","Up to 4.8 GHz","4.4 GHz","3.65 GHz","256 MB","7592 USD","400W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001143","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9455P","EPYC 9005 Series","48","96","Up to 4.4 GHz","4.1 GHz","3.15 GHz","256 MB","4819 USD","300W","240-300W","SP5","1P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001563","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9455","EPYC 9005 Series","48","96","Up to 4.4 GHz","4.1 GHz","3.15 GHz","256 MB","5412 USD","300W","240-300W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001542","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9375F","EPYC 9005 Series","32","64","Up to 4.8 GHz","4.4 GHz","3.8 GHz","256 MB","5306 USD","320W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001197","","AMD Infinity Guard , AMD Infinity Architecture","EDA , HCI , High performance VM Density , Per core CAE|CFD|FEA , VDI"
"AMD EPYC™ 9365","EPYC 9005 Series","36","72","Up to 4.3 GHz","4.15 GHz","3.4 GHz","192 MB","4341 USD","300W","240-300W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001448","","AMD Infinity Guard , AMD Infinity Architecture","Content mgmt , ERM|SCM|CRM apps , General Purpose , CDN"
"AMD EPYC™ 9355P","EPYC 9005 Series","32","64","Up to 4.4 GHz","4.2 GHz","3.55 GHz","256 MB","2998 USD","280W","240-300W","SP5","1P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001521","","AMD Infinity Guard , AMD Infinity Architecture","ERM|SCM|CRM apps , Value data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9355","EPYC 9005 Series","32","64","Up to 4.4 GHz","4.2 GHz","3.55 GHz","256 MB","3694 USD","280W","240-300W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001148","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , Media streaming , Medium capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9335","EPYC 9005 Series","32","64","Up to 4.4 GHz","4 GHz","3 GHz","128 MB","3178 USD","210W","200-240W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001149","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , Media streaming , Medium capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9275F","EPYC 9005 Series","24","48","Up to 4.8 GHz","4.5 GHz","4.1 GHz","256 MB","3439 USD","320W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001144","","AMD Infinity Architecture , AMD Infinity Guard","General Purpose , GPU|FPGA Accelerated , Per core CAE|CFD|FEA , SW-defined storage"
"AMD EPYC™ 9255","EPYC 9005 Series","24","48","Up to 4.3 GHz","4 GHz","3.2 GHz","128 MB","2495 USD","200W","200-240W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000000694","","AMD Infinity Architecture , AMD Infinity Guard","ERM|SCM|CRM apps , General Purpose , Networking|NFV , Web Serving"
"AMD EPYC™ 9175F","EPYC 9005 Series","16","32","Up to 5 GHz","4.55 GHz","4.2 GHz","512 MB","4256 USD","320W","320-400W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001145","","AMD Infinity Architecture , AMD Infinity Guard","CAE|CFD|FEA , EDA , HPC"
"AMD EPYC™ 9135","EPYC 9005 Series","16","32","Up to 4.3 GHz","4.25 GHz","3.65 GHz","64 MB","1214 USD","200W","200-240W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001150","","AMD Infinity Architecture , AMD Infinity Guard","EDA , High-speed data mgmt (NR|RDBMS) , Per core CAE|CFD|FEA"
"AMD EPYC™ 9115","EPYC 9005 Series","16","32","Up to 4.1 GHz","3.3 GHz","2.6 GHz","64 MB","726 USD","125W","120-155W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001552","","AMD Infinity Architecture , AMD Infinity Guard","Media streaming , Per core CAE|CFD|FEA , Value"
"AMD EPYC™ 9015","EPYC 9005 Series","8","16","Up to 4.1 GHz","3.95 GHz","3.6 GHz","64 MB","527 USD","125W","120-155W","SP5","1P / 2P","10/10/2024","PCIe® 5.0 x128","DDR5","12","Up to 6000 MT/s","576 GB/s","","100-000001553","","AMD Infinity Architecture , AMD Infinity Guard","Collaborative , ERM|SCM|CRM apps , General Purpose"
"AMD EPYC™ 9754S","EPYC 9004 Series","128","128","Up to 3.1 GHz","3.1 GHz","2.25 GHz","256 MB","10200 USD","360W","320-400W","SP5","1P / 2P","06/13/2023","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000001371","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Collaborative , Consumer-Oriented Digital Services , Content mgmt , General Purpose , HPC , Media streaming , VDI , VM Density , Web Serving"
"AMD EPYC™ 9754","EPYC 9004 Series","128","256","Up to 3.1 GHz","3.1 GHz","2.25 GHz","256 MB","11900 USD","360W","320-400W","SP5","1P / 2P","06/13/2023","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000001234","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Collaborative , Consumer-Oriented Digital Services , Content mgmt , General Purpose , HPC , Media streaming , VDI , VM Density , Web Serving"
"AMD EPYC™ 9734","EPYC 9004 Series","112","224","Up to 3 GHz","3 GHz","2.2 GHz","256 MB","9600 USD","340W","320-400W","SP5","1P / 2P","06/13/2023","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000001235","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Collaborative , Consumer-Oriented Digital Services , Content mgmt , General Purpose , HPC , Media streaming , VDI , VM Density , Web Serving"
"AMD EPYC™ 9684X","EPYC 9004 Series","96","192","Up to 3.7 GHz","3.42 GHz","2.55 GHz","1152 MB","14756 USD","400W","320-400W","SP5","1P / 2P","06/13/2023","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000001254","","AMD 3D V-Cache™ Technology , AMD Infinity Guard , AMD Infinity Architecture","CAE|CFD|FEA , High capacity data mgmt (NR|RDBMS) , HPC"
"AMD EPYC™ 9654P","EPYC 9004 Series","96","192","Up to 3.7 GHz","3.55 GHz","2.4 GHz","384 MB","10625 USD","360W","320-400W","SP5","1P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000803","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Consumer-Oriented Digital Services , Content mgmt , ERM|SCM|CRM apps"
"AMD EPYC™ 9654","EPYC 9004 Series","96","192","Up to 3.7 GHz","3.55 GHz","2.4 GHz","384 MB","11805 USD","360W","320-400W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000789","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Consumer-Oriented Digital Services , Content mgmt , ERM|SCM|CRM apps"
"AMD EPYC™ 9634","EPYC 9004 Series","84","168","Up to 3.7 GHz","3.1 GHz","2.25 GHz","384 MB","10304 USD","290W","240-300W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000797","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , Consumer-Oriented Digital Services , Content mgmt , ERM|SCM|CRM apps"
"AMD EPYC™ 9554P","EPYC 9004 Series","64","128","Up to 3.75 GHz","3.75 GHz","3.1 GHz","256 MB","7104 USD","360W","320-400W","SP5","1P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000804","","AMD Infinity Guard , AMD Infinity Architecture","App dev|test , ERM|SCM|CRM apps , Value data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9554","EPYC 9004 Series","64","128","Up to 3.75 GHz","3.75 GHz","3.1 GHz","256 MB","9087 USD","360W","320-400W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000790","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , HPC , VM Density"
"AMD EPYC™ 9534","EPYC 9004 Series","64","128","Up to 3.7 GHz","3.55 GHz","2.45 GHz","256 MB","8803 USD","280W","240-300W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000799","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9474F","EPYC 9004 Series","48","96","Up to 4.1 GHz","3.95 GHz","3.6 GHz","256 MB","6780 USD","360W","320-400W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000788","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9454P","EPYC 9004 Series","48","96","Up to 3.8 GHz","3.65 GHz","2.75 GHz","256 MB","4598 USD","290W","240-300W","SP5","1P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000873","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9454","EPYC 9004 Series","48","96","Up to 3.8 GHz","3.65 GHz","2.75 GHz","256 MB","5225 USD","290W","240-300W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000478","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , App dev|test , CAE|CFD|FEA , ERM|SCM|CRM apps , High capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9384X","EPYC 9004 Series","32","64","Up to 3.9 GHz","3.5 GHz","3.1 GHz","768 MB","5529 USD","320W","320-400W","SP5","1P / 2P","06/13/2023","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000001256","","AMD 3D V-Cache™ Technology , AMD Infinity Guard , AMD Infinity Architecture","CAE|CFD|FEA , EDA , HPC"
"AMD EPYC™ 9374F","EPYC 9004 Series","32","64","Up to 4.3 GHz","4.1 GHz","3.85 GHz","256 MB","4850 USD","320W","320-400W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000792","","AMD Infinity Guard , AMD Infinity Architecture","EDA , HCI , High performance VM Density , Per core CAE|CFD|FEA , VDI"
"AMD EPYC™ 9354P","EPYC 9004 Series","32","64","Up to 3.8 GHz","3.75 GHz","3.25 GHz","256 MB","2730 USD","280W","240-300W","SP5","1P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000805","","AMD Infinity Guard , AMD Infinity Architecture","ERM|SCM|CRM apps , Value data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9354","EPYC 9004 Series","32","64","Up to 3.8 GHz","3.75 GHz","3.25 GHz","256 MB","3420 USD","280W","240-300W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000798","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , Media streaming , Medium capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9334","EPYC 9004 Series","32","64","Up to 3.9 GHz","3.85 GHz","2.7 GHz","128 MB","2990 USD","210W","200-240W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000800","","AMD Infinity Guard , AMD Infinity Architecture","Analytics , CAE|CFD|FEA , ERM|SCM|CRM apps , Media streaming , Medium capacity data mgmt (NR|RDBMS) , VDI , VM Density"
"AMD EPYC™ 9274F","EPYC 9004 Series","24","48","Up to 4.3 GHz","4.1 GHz","4.05 GHz","256 MB","3060 USD","320W","320-400W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000794","","AMD Infinity Guard , AMD Infinity Architecture","EDA , HCI , High performance VM Density , Per core CAE|CFD|FEA , VDI"
"AMD EPYC™ 9254","EPYC 9004 Series","24","48","Up to 4.15 GHz","3.9 GHz","2.9 GHz","128 MB","2299 USD","200W","200-240W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000480","","AMD Infinity Guard , AMD Infinity Architecture","General Purpose , GPU|FPGA Accelerated , Per core CAE|CFD|FEA , SW-defined storage"
"AMD EPYC™ 9224","EPYC 9004 Series","24","48","Up to 3.7 GHz","3.65 GHz","2.5 GHz","64 MB","1825 USD","200W","200-240W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000939","","AMD Infinity Guard , AMD Infinity Architecture","ERM|SCM|CRM apps , General Purpose , Networking|NFV , Web Serving"
"AMD EPYC™ 9184X","EPYC 9004 Series","16","32","Up to 4.2 GHz","3.85 GHz","3.55 GHz","768 MB","4928 USD","320W","320-400W","SP5","1P / 2P","06/13/2023","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000001255","","AMD 3D V-Cache™ Technology , AMD Infinity Guard , AMD Infinity Architecture","CAE|CFD|FEA , EDA , HPC"
"AMD EPYC™ 9174F","EPYC 9004 Series","16","32","Up to 4.4 GHz","4.15 GHz","4.1 GHz","256 MB","3850 USD","320W","320-400W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000796","","AMD Infinity Guard , AMD Infinity Architecture","EDA , High-speed data mgmt (NR|RDBMS) , Per core CAE|CFD|FEA"
"AMD EPYC™ 9124","EPYC 9004 Series","16","32","Up to 3.7 GHz","3.6 GHz","3 GHz","64 MB","1083 USD","200W","200-240W","SP5","1P / 2P","11/10/2022","PCIe® 5.0 x128","DDR5","12","Up to 4800 MT/s","460.8 GB/s","","100-000000802","","AMD Infinity Guard , AMD Infinity Architecture","Media streaming , Per core CAE|CFD|FEA , Value"
"AMD EPYC™ 8534PN","EPYC 8004 Series","64","128","Up to 3.1 GHz","3.05 GHz","2 GHz","128 MB","5450 USD","175W","","SP6","1P","09/18/2023","PCIe® 5.0 x96","DDR5","6","Up to 4800 MT/s","230.4 GB/s","","100-000001172","","AMD Infinity Guard , AMD Infinity Architecture","Client-Middleware Computing , HCI , Media streaming , Networking|NFV , SW-defined storage , Telco"
