Entity,Code,Year,Carbon intensity of electricity (gCO2/kWh)
Austria,AUT,2000,158
Austria,AUT,2001,176
Austria,AUT,2002,168
Austria,AUT,2003,213
Austria,AUT,2004,197
Austria,AUT,2005,189
Austria,AUT,2006,183
Austria,AUT,2007,169
Austria,AUT,2008,159
Austria,AUT,2009,137
Austria,AUT,2010,156
Austria,AUT,2011,164
Austria,AUT,2012,121
Austria,AUT,2013,109
Austria,AUT,2014,94
Austria,AUT,2015,110
Austria,AUT,2016,98
Austria,AUT,2017,107
Austria,AUT,2018,102
Austria,AUT,2019,99
Austria,AUT,2020,83
Belgium,BEL,2000,270
Belgium,BEL,2001,257
Belgium,BEL,2002,263
Belgium,BEL,2003,266
Belgium,BEL,2004,271
Belgium,BEL,2005,275
Belgium,BEL,2006,253
Belgium,BEL,2007,242
Belgium,BEL,2008,238
Belgium,BEL,2009,213
Belgium,BEL,2010,213
Belgium,BEL,2011,194
Belgium,BEL,2012,208
Belgium,BEL,2013,190
Belgium,BEL,2014,205
Belgium,BEL,2015,227
Belgium,BEL,2016,172
Belgium,BEL,2017,177
Belgium,BEL,2018,207
Belgium,BEL,2019,184
Belgium,BEL,2020,192
Bulgaria,BGR,2000,476
Bulgaria,BGR,2001,525
Bulgaria,BGR,2002,483
Bulgaria,BGR,2003,536
Bulgaria,BGR,2004,536
Bulgaria,BGR,2005,505
Bulgaria,BGR,2006,497
Bulgaria,BGR,2007,602
Bulgaria,BGR,2008,568
Bulgaria,BGR,2009,526
Bulgaria,BGR,2010,529
Bulgaria,BGR,2011,583
Bulgaria,BGR,2012,525
Bulgaria,BGR,2013,481
Bulgaria,BGR,2014,476
Bulgaria,BGR,2015,486
Bulgaria,BGR,2016,462
Bulgaria,BGR,2017,497
Bulgaria,BGR,2018,425
Bulgaria,BGR,2019,424
Bulgaria,BGR,2020,352
Croatia,HRV,2000,292
Croatia,HRV,2001,305
Croatia,HRV,2002,363
Croatia,HRV,2003,389
Croatia,HRV,2004,288
Croatia,HRV,2005,305
Croatia,HRV,2006,314
Croatia,HRV,2007,396
Croatia,HRV,2008,344
Croatia,HRV,2009,271
Croatia,HRV,2010,216
Croatia,HRV,2011,306
Croatia,HRV,2012,290
Croatia,HRV,2013,206
Croatia,HRV,2014,178
Croatia,HRV,2015,212
Croatia,HRV,2016,210
Croatia,HRV,2017,195
Croatia,HRV,2018,135
Croatia,HRV,2019,172
Croatia,HRV,2020,164
Cyprus,CYP,2000,849
Cyprus,CYP,2001,787
Cyprus,CYP,2002,767
Cyprus,CYP,2003,774
Cyprus,CYP,2004,782
Cyprus,CYP,2005,800
Cyprus,CYP,2006,793
Cyprus,CYP,2007,796
Cyprus,CYP,2008,793
Cyprus,CYP,2009,776
Cyprus,CYP,2010,735
Cyprus,CYP,2011,759
Cyprus,CYP,2012,757
Cyprus,CYP,2013,666
Cyprus,CYP,2014,682
Cyprus,CYP,2015,670
Cyprus,CYP,2016,679
Cyprus,CYP,2017,661
Cyprus,CYP,2018,664
Cyprus,CYP,2019,660
Cyprus,CYP,2020,653
Czechia,CZE,2000,688
Czechia,CZE,2001,687
Czechia,CZE,2002,664
Czechia,CZE,2003,599
Czechia,CZE,2004,597
Czechia,CZE,2005,616
Czechia,CZE,2006,613
Czechia,CZE,2007,615
Czechia,CZE,2008,602
Czechia,CZE,2009,572
Czechia,CZE,2010,554
Czechia,CZE,2011,544
Czechia,CZE,2012,508
Czechia,CZE,2013,477
Czechia,CZE,2014,481
Czechia,CZE,2015,495
Czechia,CZE,2016,505
Czechia,CZE,2017,453
Czechia,CZE,2018,445
Czechia,CZE,2019,423
Czechia,CZE,2020,386
Denmark,DNK,2000,479
Denmark,DNK,2001,470
Denmark,DNK,2002,463
Denmark,DNK,2003,490
Denmark,DNK,2004,424
Denmark,DNK,2005,388
Denmark,DNK,2006,475
Denmark,DNK,2007,442
Denmark,DNK,2008,414
Denmark,DNK,2009,412
Denmark,DNK,2010,368
Denmark,DNK,2011,331
Denmark,DNK,2012,272
Denmark,DNK,2013,311
Denmark,DNK,2014,268
Denmark,DNK,2015,192
Denmark,DNK,2016,231
Denmark,DNK,2017,176
Denmark,DNK,2018,189
Denmark,DNK,2019,122
Denmark,DNK,2020,116
EU-27,,2000,399
EU-27,,2001,393
EU-27,,2002,400
EU-27,,2003,405
EU-27,,2004,395
EU-27,,2005,387
EU-27,,2006,386
EU-27,,2007,393
EU-27,,2008,369
EU-27,,2009,355
EU-27,,2010,341
EU-27,,2011,348
EU-27,,2012,343
EU-27,,2013,326
EU-27,,2014,317
EU-27,,2015,317
EU-27,,2016,305
EU-27,,2017,303
EU-27,,2018,287
EU-27,,2019,252
EU-27,,2020,226
EU27+1,,2000,411
EU27+1,,2001,408
EU27+1,,2002,413
EU27+1,,2003,419
EU27+1,,2004,411
EU27+1,,2005,402
EU27+1,,2006,403
EU27+1,,2007,408
EU27+1,,2008,386
EU27+1,,2009,369
EU27+1,,2010,357
EU27+1,,2011,361
EU27+1,,2012,361
EU27+1,,2013,342
EU27+1,,2014,329
EU27+1,,2015,324
EU27+1,,2016,305
EU27+1,,2017,300
EU27+1,,2018,285
EU27+1,,2019,251
EU27+1,,2020,226
Estonia,EST,2000,1116
Estonia,EST,2001,1087
Estonia,EST,2002,1054
Estonia,EST,2003,1062
Estonia,EST,2004,1047
Estonia,EST,2005,1028
Estonia,EST,2006,984
Estonia,EST,2007,1015
Estonia,EST,2008,1009
Estonia,EST,2009,980
Estonia,EST,2010,973
Estonia,EST,2011,992
Estonia,EST,2012,938
Estonia,EST,2013,992
Estonia,EST,2014,993
Estonia,EST,2015,944
Estonia,EST,2016,924
Estonia,EST,2017,928
Estonia,EST,2018,900
Estonia,EST,2019,783
Estonia,EST,2020,669
Finland,FIN,2000,164
Finland,FIN,2001,210
Finland,FIN,2002,231
Finland,FIN,2003,289
Finland,FIN,2004,241
Finland,FIN,2005,148
Finland,FIN,2006,248
Finland,FIN,2007,221
Finland,FIN,2008,163
Finland,FIN,2009,181
Finland,FIN,2010,218
Finland,FIN,2011,179
Finland,FIN,2012,125
Finland,FIN,2013,161
Finland,FIN,2014,140
Finland,FIN,2015,103
Finland,FIN,2016,109
Finland,FIN,2017,99
Finland,FIN,2018,111
Finland,FIN,2019,89
Finland,FIN,2020,67
France,FRA,2000,92
France,FRA,2001,73
France,FRA,2002,78
France,FRA,2003,84
France,FRA,2004,83
France,FRA,2005,104
France,FRA,2006,101
France,FRA,2007,96
France,FRA,2008,87
France,FRA,2009,79
France,FRA,2010,77
France,FRA,2011,65
France,FRA,2012,69
France,FRA,2013,69
France,FRA,2014,51
France,FRA,2015,54
France,FRA,2016,60
France,FRA,2017,69
France,FRA,2018,54
France,FRA,2019,54
France,FRA,2020,55
Germany,DEU,2000,559
Germany,DEU,2001,574
Germany,DEU,2002,570
Germany,DEU,2003,554
Germany,DEU,2004,538
Germany,DEU,2005,520
Germany,DEU,2006,515
Germany,DEU,2007,534
Germany,DEU,2008,501
Germany,DEU,2009,496
Germany,DEU,2010,483
Germany,DEU,2011,499
Germany,DEU,2012,505
Germany,DEU,2013,501
Germany,DEU,2014,490
Germany,DEU,2015,460
Germany,DEU,2016,456
Germany,DEU,2017,424
Germany,DEU,2018,406
Germany,DEU,2019,343
Germany,DEU,2020,301
Greece,GRC,2000,975
Greece,GRC,2001,984
Greece,GRC,2002,956
Greece,GRC,2003,914
Greece,GRC,2004,920
Greece,GRC,2005,915
Greece,GRC,2006,854
Greece,GRC,2007,880
Greece,GRC,2008,870
Greece,GRC,2009,854
Greece,GRC,2010,875
Greece,GRC,2011,883
Greece,GRC,2012,869
Greece,GRC,2013,808
Greece,GRC,2014,846
Greece,GRC,2015,739
Greece,GRC,2016,622
Greece,GRC,2017,658
Greece,GRC,2018,662
Greece,GRC,2019,603
Greece,GRC,2020,522
Hungary,HUN,2000,460
Hungary,HUN,2001,453
Hungary,HUN,2002,446
Hungary,HUN,2003,504
Hungary,HUN,2004,453
Hungary,HUN,2005,377
Hungary,HUN,2006,381
Hungary,HUN,2007,384
Hungary,HUN,2008,362
Hungary,HUN,2009,319
Hungary,HUN,2010,325
Hungary,HUN,2011,330
Hungary,HUN,2012,322
Hungary,HUN,2013,288
Hungary,HUN,2014,271
Hungary,HUN,2015,271
Hungary,HUN,2016,261
Hungary,HUN,2017,264
Hungary,HUN,2018,251
Hungary,HUN,2019,226
Hungary,HUN,2020,218
Ireland,IRL,2000,674
Ireland,IRL,2001,694
Ireland,IRL,2002,650
Ireland,IRL,2003,618
Ireland,IRL,2004,595
Ireland,IRL,2005,601
Ireland,IRL,2006,552
Ireland,IRL,2007,527
Ireland,IRL,2008,494
Ireland,IRL,2009,474
Ireland,IRL,2010,485
Ireland,IRL,2011,456
Ireland,IRL,2012,487
Ireland,IRL,2013,460
Ireland,IRL,2014,450
Ireland,IRL,2015,437
Ireland,IRL,2016,429
Ireland,IRL,2017,399
Ireland,IRL,2018,353
Ireland,IRL,2019,313
Ireland,IRL,2020,293
Italy,ITA,2000,396
Italy,ITA,2001,383
Italy,ITA,2002,406
Italy,ITA,2003,443
Italy,ITA,2004,455
Italy,ITA,2005,397
Italy,ITA,2006,389
Italy,ITA,2007,381
Italy,ITA,2008,371
Italy,ITA,2009,353
Italy,ITA,2010,338
Italy,ITA,2011,327
Italy,ITA,2012,312
Italy,ITA,2013,272
Italy,ITA,2014,257
Italy,ITA,2015,283
Italy,ITA,2016,262
Italy,ITA,2017,263
Italy,ITA,2018,248
Italy,ITA,2019,229
Italy,ITA,2020,212
Latvia,LVA,2000,137
Latvia,LVA,2001,126
Latvia,LVA,2002,126
Latvia,LVA,2003,124
Latvia,LVA,2004,96
Latvia,LVA,2005,86
Latvia,LVA,2006,109
Latvia,LVA,2007,105
Latvia,LVA,2008,111
Latvia,LVA,2009,93
Latvia,LVA,2010,115
Latvia,LVA,2011,127
Latvia,LVA,2012,85
Latvia,LVA,2013,126
Latvia,LVA,2014,123
Latvia,LVA,2015,141
Latvia,LVA,2016,117
Latvia,LVA,2017,65
Latvia,LVA,2018,138
Latvia,LVA,2019,147
Latvia,LVA,2020,92
Lithuania,LTU,2000,112
Lithuania,LTU,2001,98
Lithuania,LTU,2002,74
Lithuania,LTU,2003,66
Lithuania,LTU,2004,73
Lithuania,LTU,2005,108
Lithuania,LTU,2006,104
Lithuania,LTU,2007,91
Lithuania,LTU,2008,85
Lithuania,LTU,2009,86
Lithuania,LTU,2010,317
Lithuania,LTU,2011,264
Lithuania,LTU,2012,274
Lithuania,LTU,2013,204
Lithuania,LTU,2014,186
Lithuania,LTU,2015,206
Lithuania,LTU,2016,154
Lithuania,LTU,2017,92
Lithuania,LTU,2018,65
Lithuania,LTU,2019,68
Lithuania,LTU,2020,146
Luxembourg,LUX,2000,96
Luxembourg,LUX,2001,167
Luxembourg,LUX,2002,275
Luxembourg,LUX,2003,255
Luxembourg,LUX,2004,275
Luxembourg,LUX,2005,272
Luxembourg,LUX,2006,272
Luxembourg,LUX,2007,269
Luxembourg,LUX,2008,245
Luxembourg,LUX,2009,282
Luxembourg,LUX,2010,236
Luxembourg,LUX,2011,235
Luxembourg,LUX,2012,240
Luxembourg,LUX,2013,192
Luxembourg,LUX,2014,200
Luxembourg,LUX,2015,141
Luxembourg,LUX,2016,78
Luxembourg,LUX,2017,72
Luxembourg,LUX,2018,69
Luxembourg,LUX,2019,69
Luxembourg,LUX,2020,69
Malta,MLT,2000,839
Malta,MLT,2001,1004
Malta,MLT,2002,957
Malta,MLT,2003,969
Malta,MLT,2004,935
Malta,MLT,2005,884
Malta,MLT,2006,885
Malta,MLT,2007,887
Malta,MLT,2008,862
Malta,MLT,2009,863
Malta,MLT,2010,884
Malta,MLT,2011,879
Malta,MLT,2012,883
Malta,MLT,2013,731
Malta,MLT,2014,715
Malta,MLT,2015,654
Malta,MLT,2016,653
Malta,MLT,2017,435
Malta,MLT,2018,356
Malta,MLT,2019,356
Malta,MLT,2020,356
Netherlands,NLD,2000,511
Netherlands,NLD,2001,522
Netherlands,NLD,2002,518
Netherlands,NLD,2003,522
Netherlands,NLD,2004,507
Netherlands,NLD,2005,494
Netherlands,NLD,2006,478
Netherlands,NLD,2007,483
Netherlands,NLD,2008,477
Netherlands,NLD,2009,449
Netherlands,NLD,2010,445
Netherlands,NLD,2011,436
Netherlands,NLD,2012,461
Netherlands,NLD,2013,472
Netherlands,NLD,2014,497
Netherlands,NLD,2015,514
Netherlands,NLD,2016,491
Netherlands,NLD,2017,459
Netherlands,NLD,2018,441
Netherlands,NLD,2019,382
Netherlands,NLD,2020,318
Poland,POL,2000,950
Poland,POL,2001,940
Poland,POL,2002,936
Poland,POL,2003,946
Poland,POL,2004,939
Poland,POL,2005,924
Poland,POL,2006,938
Poland,POL,2007,919
Poland,POL,2008,896
Poland,POL,2009,880
Poland,POL,2010,868
Poland,POL,2011,866
Poland,POL,2012,843
Poland,POL,2013,841
Poland,POL,2014,828
Poland,POL,2015,803
Poland,POL,2016,794
Poland,POL,2017,784
Poland,POL,2018,789
Poland,POL,2019,752
Poland,POL,2020,724
Portugal,PRT,2000,484
Portugal,PRT,2001,461
Portugal,PRT,2002,539
Portugal,PRT,2003,439
Portugal,PRT,2004,484
Portugal,PRT,2005,535
Portugal,PRT,2006,450
Portugal,PRT,2007,421
Portugal,PRT,2008,416
Portugal,PRT,2009,393
Portugal,PRT,2010,280
Portugal,PRT,2011,333
Portugal,PRT,2012,397
Portugal,PRT,2013,318
Portugal,PRT,2014,299
Portugal,PRT,2015,364
Portugal,PRT,2016,296
Portugal,PRT,2017,353
Portugal,PRT,2018,310
Portugal,PRT,2019,251
Portugal,PRT,2020,201
Romania,ROU,2000,461
Romania,ROU,2001,466
Romania,ROU,2002,463
Romania,ROU,2003,521
Romania,ROU,2004,452
Romania,ROU,2005,417
Romania,ROU,2006,463
Romania,ROU,2007,563
Romania,ROU,2008,516
Romania,ROU,2009,453
Romania,ROU,2010,387
Romania,ROU,2011,458
Romania,ROU,2012,456
Romania,ROU,2013,364
Romania,ROU,2014,331
Romania,ROU,2015,349
Romania,ROU,2016,309
Romania,ROU,2017,315
Romania,ROU,2018,291
Romania,ROU,2019,271
Romania,ROU,2020,208
Slovakia,SVK,2000,233
Slovakia,SVK,2001,219
Slovakia,SVK,2002,199
Slovakia,SVK,2003,221
Slovakia,SVK,2004,227
Slovakia,SVK,2005,196
Slovakia,SVK,2006,184
Slovakia,SVK,2007,187
Slovakia,SVK,2008,189
Slovakia,SVK,2009,166
Slovakia,SVK,2010,140
Slovakia,SVK,2011,152
Slovakia,SVK,2012,151
Slovakia,SVK,2013,132
Slovakia,SVK,2014,117
Slovakia,SVK,2015,125
Slovakia,SVK,2016,116
Slovakia,SVK,2017,119
Slovakia,SVK,2018,137
Slovakia,SVK,2019,104
Slovakia,SVK,2020,90
Slovenia,SVN,2000,355
Slovenia,SVN,2001,381
Slovenia,SVN,2002,395
Slovenia,SVN,2003,390
Slovenia,SVN,2004,362
Slovenia,SVN,2005,364
Slovenia,SVN,2006,371
Slovenia,SVN,2007,394
Slovenia,SVN,2008,345
Slovenia,SVN,2009,331
Slovenia,SVN,2010,332
Slovenia,SVN,2011,342
Slovenia,SVN,2012,333
Slovenia,SVN,2013,309
Slovenia,SVN,2014,217
Slovenia,SVN,2015,256
Slovenia,SVN,2016,254
Slovenia,SVN,2017,254
Slovenia,SVN,2018,248
Slovenia,SVN,2019,242
Slovenia,SVN,2020,219
Spain,ESP,2000,467
Spain,ESP,2001,416
Spain,ESP,2002,468
Spain,ESP,2003,412
Spain,ESP,2004,423
Spain,ESP,2005,439
Spain,ESP,2006,398
Spain,ESP,2007,411
Spain,ESP,2008,347
Spain,ESP,2009,317
Spain,ESP,2010,256
Spain,ESP,2011,319
Spain,ESP,2012,333
Spain,ESP,2013,270
Spain,ESP,2014,280
Spain,ESP,2015,318
Spain,ESP,2016,266
Spain,ESP,2017,305
Spain,ESP,2018,276
Spain,ESP,2019,228
Spain,ESP,2020,190
Sweden,SWE,2000,18
Sweden,SWE,2001,20
Sweden,SWE,2002,27
Sweden,SWE,2003,36
Sweden,SWE,2004,22
Sweden,SWE,2005,18
Sweden,SWE,2006,22
Sweden,SWE,2007,19
Sweden,SWE,2008,19
Sweden,SWE,2009,19
Sweden,SWE,2010,26
Sweden,SWE,2011,19
Sweden,SWE,2012,15
Sweden,SWE,2013,15
Sweden,SWE,2014,12
Sweden,SWE,2015,11
Sweden,SWE,2016,12
Sweden,SWE,2017,13
Sweden,SWE,2018,13
Sweden,SWE,2019,12
Sweden,SWE,2020,13
United Kingdom,GBR,2000,484
United Kingdom,GBR,2001,504
United Kingdom,GBR,2002,494
United Kingdom,GBR,2003,502
United Kingdom,GBR,2004,513
United Kingdom,GBR,2005,503
United Kingdom,GBR,2006,527
United Kingdom,GBR,2007,515
United Kingdom,GBR,2008,509
United Kingdom,GBR,2009,463
United Kingdom,GBR,2010,471
United Kingdom,GBR,2011,454
United Kingdom,GBR,2012,502
United Kingdom,GBR,2013,467
United Kingdom,GBR,2014,425
United Kingdom,GBR,2015,380
United Kingdom,GBR,2016,294
United Kingdom,GBR,2017,264
United Kingdom,GBR,2018,250
United Kingdom,GBR,2019,228
United Kingdom,GBR,2020,209